"predictions","ID"
18730.916121136,2
8821.10748128465,4
9238.64548779767,13
2229.45642426306,14
3070.74070953813,15
2680.48391021915,19
6076.57914293012,20
5323.84958870176,23
19159.0726593633,26
5695.54063522837,28
5845.90265943641,31
16534.7125606671,33
19058.8313098912,44
8570.50410760458,48
2780.72525969117,51
19282.2435432322,52
2880.9666091632,53
2348.64476685353,56
5695.54063522837,72
8620.6247823406,75
5424.09093817379,76
8620.6247823406,77
2148.16206790947,80
6564.16471436551,85
8570.50410760458,89
6076.57914293012,94
16284.109186987,97
2298.52409211751,99
8770.98680654864,102
16708.004119272,105
6377.3031913462,114
3031.32863337124,119
9021.5901802287,123
2880.9666091632,127
6163.19931647741,128
12097.036351549,130
5926.21711872208,133
6012.83729226937,134
5273.72891396575,135
5976.33779345809,136
8720.86613181262,140
6327.18251661018,145
5595.29928575635,146
2398.76544158954,149
5962.71661753336,150
6046.38535838046,153
9288.76616253369,159
8720.86613181262,165
16233.988512251,175
19058.8313098912,177
2680.48391021915,178
8570.50410760458,179
8837.68008990957,184
2499.00679106156,185
2630.36323548313,186
2630.36323548313,195
2429.88053653908,196
2599.24814053359,197
11946.6743273409,198
2780.72525969117,206
5745.66130996439,207
2780.72525969117,209
8720.86613181262,210
5645.41996049236,222
5745.66130996439,223
2699.48949000562,226
6163.19931647741,231
12097.036351549,233
6196.7473825885,234
16384.3505364591,235
8971.46950549269,236
2669.77531165003,254
13031.1098511196,255
2730.60458495516,256
2279.57709899907,257
2329.69777373509,261
2931.08728389921,262
2398.76544158954,266
6012.83729226937,270
5896.02333417243,271
2480.00121127509,277
2549.12746579758,278
5574.45296238183,286
2248.4034173815,288
5373.97026343778,292
16183.867837515,295
2348.64476685353,296
8570.50410760458,302
2780.72525969117,303
2680.48391021915,308
5795.7819847004,319
2348.64476685353,321
2880.9666091632,322
12163.7296349099,325
18831.1574706081,327
5555.44738259536,328
6106.7748046915,329
2680.48391021915,333
8837.68008990957,334
5645.41996049236,337
8751.05991636228,343
2429.88053653908,344
5795.7819847004,345
5896.02333417243,352
9272.19355390876,355
19509.9173825153,363
2279.57709899907,375
3000.21353842169,377
2329.69777373509,384
2329.69777373509,390
5695.54063522837,391
16256.9180466479,397
2669.77531165003,398
6226.94116713816,399
6213.31999121342,401
6213.31999121342,402
2448.88611632555,403
8751.05991636228,404
2680.48391021915,405
6046.38535838046,407
2870.25801059408,411
8620.6247823406,412
5996.26468364445,423
2429.88053653908,427
2530.12188601111,428
2429.88053653908,434
5795.7819847004,436
18881.2781453441,445
6076.57914293012,448
5896.02333417243,450
5323.84958870176,460
2499.00679106156,461
2849.85151421366,462
5912.59594279735,470
2429.88053653908,472
2298.52409211751,475
6096.50603311648,476
5845.90265943641,477
13031.1098511196,480
2780.72525969117,482
5906.29210574745,483
5795.7819847004,486
2630.36323548313,488
16206.7973719119,492
5795.7819847004,493
8851.3012658343,494
16584.8332354031,496
9940.33493410185,501
2229.45642426306,507
8821.10748128465,508
18831.1574706081,510
12980.9891763836,514
2680.48391021915,521
19232.1228684962,524
5845.90265943641,527
5876.09644398607,528
2730.60458495516,536
5323.84958870176,541
2429.88053653908,543
6363.68201542146,544
2680.48391021915,545
2880.9666091632,546
9000.74385685418,547
18958.5899604192,551
5795.34215770631,553
5774.93566132588,557
2680.48391021915,558
2749.61016474163,561
2298.52409211751,563
12880.7478269116,564
5896.02333417243,569
5695.54063522837,575
2448.88611632555,578
6163.19931647741,579
5876.09644398607,580
2448.88611632555,581
2429.93912320711,593
5845.90265943641,596
9188.52481306166,597
5962.71661753336,599
12680.2651279675,603
5795.7819847004,608
2499.00679106156,609
2329.69777373509,610
5574.45296238183,616
2499.00679106156,617
5845.90265943641,618
8751.05991636228,619
5645.41996049236,627
8821.10748128465,632
2448.88611632555,634
2680.48391021915,639
2630.36323548313,645
2248.4034173815,651
13031.1098511196,657
16434.4712111951,658
6062.95796700538,659
8770.98680654864,663
2248.4034173815,664
5896.02333417243,665
6076.57914293012,666
8670.74545707661,667
16758.1247940081,670
2499.00679106156,682
8751.05991636228,687
2730.60458495516,688
5795.34215770631,691
2329.69777373509,696
18931.3988200801,700
5695.54063522837,702
8921.34883075667,703
2870.25801059408,704
2920.3786853301,705
6196.7473825885,706
2970.49936006611,708
2348.64476685353,709
16735.1952596112,712
8921.34883075667,714
2619.65463691402,716
5605.56805733137,718
6113.0786417414,722
5912.59594279735,726
2630.36323548313,728
2148.16206790947,729
2619.65463691402,733
5695.54063522837,734
11896.5536526049,737
5645.41996049236,739
12907.9389672507,742
2580.24256074712,750
2329.69777373509,752
12628.4368834587,753
16434.4712111951,762
6347.10940679654,763
6347.10940679654,764
6146.62670785249,770
2480.00121127509,776
2870.25801059408,777
2229.45642426306,778
2580.24256074712,780
2379.8184484711,781
5896.02333417243,784
2830.84593442718,792
12077.1094613626,797
2148.16206790947,798
5896.02333417243,802
5695.54063522837,807
2880.9666091632,809
19209.1933340993,814
2329.69777373509,815
12930.8685016476,818
6012.83729226937,825
19459.7967077793,830
5273.72891396575,831
2179.33574952705,832
8570.50410760458,836
2499.00679106156,850
2599.24814053359,852
2229.45642426306,856
9272.19355390876,862
5595.29928575635,867
